# Per-continent preserved sediment volume vs age
# Representative tutorial dataset consistent with the magnitudes in
# Ronov (1994, AJS) Table 2 and Hay et al. (1988, JGR) Table 2.
# Units: km^3 / Myr preserved.
# For an authoritative copy use the original Ronov 1994 supplements.
continent,age,flux_km3_per_Myr
North America,0,3028.9
North America,10,4496.6
North America,20,3028.4
North America,30,3031.7
North America,40,4027.5
North America,50,4765.9
North America,60,2293.4
North America,70,5917.7
North America,80,7203.2
North America,90,5088.4
North America,100,3515.7
North America,110,3364.4
North America,120,3766.5
North America,130,4197.7
North America,140,3864.4
North America,150,2458.4
North America,160,3181.0
North America,170,2180.8
North America,180,1866.9
North America,190,1209.7
North America,200,1401.2
North America,210,1247.2
North America,220,1032.7
North America,230,822.9
North America,240,1176.4
North America,250,1102.8
North America,260,1735.1
North America,270,1692.0
North America,280,2815.8
North America,290,3006.7
North America,300,3084.8
North America,310,4057.7
North America,320,3878.6
North America,330,3413.2
North America,340,6548.6
North America,350,4604.7
North America,360,7583.6
North America,370,4944.2
North America,380,5263.4
North America,390,5182.4
North America,400,5319.6
North America,410,3723.4
North America,420,4755.1
North America,430,3797.1
North America,440,3094.6
North America,450,5007.6
North America,460,2156.6
North America,470,1767.2
North America,480,2095.1
North America,490,676.3
North America,500,637.1
North America,510,1256.4
North America,520,777.2
North America,530,511.5
North America,540,1101.3
North America,550,1795.4
North America,560,1439.3
North America,570,1447.2
North America,580,2550.7
North America,590,1724.0
North America,600,2286.8
North America,610,4295.5
North America,620,4529.9
North America,630,4418.6
North America,640,4043.9
North America,650,6021.3
North America,660,4851.3
North America,670,5502.3
North America,680,5599.0
North America,690,3612.6
North America,700,3315.1
North America,710,3818.6
North America,720,4712.9
North America,730,2384.8
North America,740,2085.7
North America,750,3589.0
North America,760,3639.3
North America,770,1643.0
North America,780,1364.5
North America,790,1542.6
North America,800,1288.9
North America,810,1196.9
North America,820,1121.5
North America,830,827.1
North America,840,1196.1
North America,850,1424.1
North America,860,1322.1
North America,870,1830.4
North America,880,2325.8
North America,890,2742.0
North America,900,3309.2
North America,910,4688.6
North America,920,3530.8
South America,0,2215.5
South America,10,2021.2
South America,20,1661.0
South America,30,2183.0
South America,40,1991.8
South America,50,1890.6
South America,60,2414.9
South America,70,2906.5
South America,80,3159.0
South America,90,1965.0
South America,100,3279.9
South America,110,2974.5
South America,120,1759.1
South America,130,3309.9
South America,140,1793.6
South America,150,1930.0
South America,160,2260.2
South America,170,1312.2
South America,180,1684.0
South America,190,395.6
South America,200,588.1
South America,210,808.4
South America,220,665.6
South America,230,559.0
South America,240,597.6
South America,250,1194.9
South America,260,1001.8
South America,270,1441.8
South America,280,1516.1
South America,290,1661.5
South America,300,1395.3
South America,310,1399.2
South America,320,3498.0
South America,330,2866.2
South America,340,1581.0
South America,350,2237.4
South America,360,3393.6
South America,370,3709.8
South America,380,3154.2
South America,390,3052.3
South America,400,2013.4
South America,410,4180.0
South America,420,1254.1
South America,430,1886.3
South America,440,1535.6
South America,450,1869.7
South America,460,2109.2
South America,470,954.1
South America,480,1354.3
South America,490,625.7
South America,500,728.9
South America,510,692.8
South America,520,915.4
South America,530,670.3
South America,540,602.0
South America,550,1012.5
South America,560,1243.1
South America,570,982.0
South America,580,1220.3
South America,590,1854.0
South America,600,1717.0
South America,610,2751.5
South America,620,2471.4
South America,630,1206.1
South America,640,2720.4
South America,650,1812.1
South America,660,2857.7
South America,670,2754.1
South America,680,3049.4
